artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,preview_url,track_id
Eladio Carrion,0.413,https://api.spotify.com/v1/audio-analysis/1F205Nl2feOSYSztLNOJAL,0.852,208237,0.613,1F205Nl2feOSYSztLNOJAL,0.000201,9,0.123,-5.261,1,0.108,89.951,4,https://api.spotify.com/v1/tracks/1F205Nl2feOSYSztLNOJAL,audio_features,spotify:track:1F205Nl2feOSYSztLNOJAL,0.576,3:00 AM,https://p.scdn.co/mp3-preview/e7f70ac4a703a78e9b078e02b8c01056c2797979?cid=f0ab2ded1b8a482188532d1f3441d07c,1F205Nl2feOSYSztLNOJAL
Thundercat,0.841,https://api.spotify.com/v1/audio-analysis/0ZgoWqmCBXqyFd67ISSI22,0.502,75154,0.413,0ZgoWqmCBXqyFd67ISSI22,0.819,8,0.124,-13.138,1,0.049,167.955,4,https://api.spotify.com/v1/tracks/0ZgoWqmCBXqyFd67ISSI22,audio_features,spotify:track:0ZgoWqmCBXqyFd67ISSI22,0.0827,3AM,https://p.scdn.co/mp3-preview/f7dd35fcfac807844db6da4e09863c68f0aef8c9?cid=f0ab2ded1b8a482188532d1f3441d07c,0ZgoWqmCBXqyFd67ISSI22
Afroto,0.366,https://api.spotify.com/v1/audio-analysis/4eEqANCoWtjcegFNqnV3nq,0.738,179137,0.591,4eEqANCoWtjcegFNqnV3nq,0,6,0.679,-5.944,1,0.529,143.417,4,https://api.spotify.com/v1/tracks/4eEqANCoWtjcegFNqnV3nq,audio_features,spotify:track:4eEqANCoWtjcegFNqnV3nq,0.733,BAHZ,https://p.scdn.co/mp3-preview/0c959e84ce7bd5a65f1085483b6346517c43351e?cid=f0ab2ded1b8a482188532d1f3441d07c,4eEqANCoWtjcegFNqnV3nq
Afroto,0.15,https://api.spotify.com/v1/audio-analysis/6cpTq72SH9QSocMTnGEKg5,0.947,212000,0.732,6cpTq72SH9QSocMTnGEKg5,0,9,0.134,-5.764,1,0.355,120.083,4,https://api.spotify.com/v1/tracks/6cpTq72SH9QSocMTnGEKg5,audio_features,spotify:track:6cpTq72SH9QSocMTnGEKg5,0.673,Brazil,https://p.scdn.co/mp3-preview/77d9f35922e96e636fd452ea02f2fc11c0a7b31e?cid=f0ab2ded1b8a482188532d1f3441d07c,6cpTq72SH9QSocMTnGEKg5
DC The Don,0.103,https://api.spotify.com/v1/audio-analysis/4cxKpjRS1Hm5VJqAWEHp3y,0.731,238629,0.67,4cxKpjRS1Hm5VJqAWEHp3y,0,10,0.123,-6.421,0,0.0512,130.048,4,https://api.spotify.com/v1/tracks/4cxKpjRS1Hm5VJqAWEHp3y,audio_features,spotify:track:4cxKpjRS1Hm5VJqAWEHp3y,0.355,3AM Freestyle,https://p.scdn.co/mp3-preview/f1a126d05d43e2788293ec2004353ad87c4f7feb?cid=f0ab2ded1b8a482188532d1f3441d07c,4cxKpjRS1Hm5VJqAWEHp3y
Kamiyada+,0.0612,https://api.spotify.com/v1/audio-analysis/4nSCAQB1tpR7o22PQensnZ,0.77,204029,0.395,4nSCAQB1tpR7o22PQensnZ,0.13,8,0.0992,-9.695,1,0.0419,103.507,4,https://api.spotify.com/v1/tracks/4nSCAQB1tpR7o22PQensnZ,audio_features,spotify:track:4nSCAQB1tpR7o22PQensnZ,0.183,3:00 AM,https://p.scdn.co/mp3-preview/846652f1341de36b17f9a9d362807ea47245e8b8?cid=f0ab2ded1b8a482188532d1f3441d07c,4nSCAQB1tpR7o22PQensnZ
Afroto,0.153,https://api.spotify.com/v1/audio-analysis/53BjuhvFCmv5T0VRhKuNrb,0.798,188357,0.867,53BjuhvFCmv5T0VRhKuNrb,1.00E-05,10,0.0643,-4.653,0,0.0532,107.97,4,https://api.spotify.com/v1/tracks/53BjuhvFCmv5T0VRhKuNrb,audio_features,spotify:track:53BjuhvFCmv5T0VRhKuNrb,0.784,FAR2 KHEBRA,https://p.scdn.co/mp3-preview/192b41cc9fbf351e845009ac8741a5a000d4cfdc?cid=f0ab2ded1b8a482188532d1f3441d07c,53BjuhvFCmv5T0VRhKuNrb
NORDO,0.358,https://api.spotify.com/v1/audio-analysis/6slVvRYiexG2Blm4RU9At4,0.716,184468,0.79,6slVvRYiexG2Blm4RU9At4,0.0216,2,0.147,-6.157,0,0.1,93.981,4,https://api.spotify.com/v1/tracks/6slVvRYiexG2Blm4RU9At4,audio_features,spotify:track:6slVvRYiexG2Blm4RU9At4,0.239,3arbouch,https://p.scdn.co/mp3-preview/2d2adeec35e0403bde3a5b554a063869941b477c?cid=f0ab2ded1b8a482188532d1f3441d07c,6slVvRYiexG2Blm4RU9At4
Afroto,0.578,https://api.spotify.com/v1/audio-analysis/00TO3hVgOAgfKrRjrKEZxx,0.447,181311,0.54,00TO3hVgOAgfKrRjrKEZxx,0.000586,6,0.2,-12.572,0,0.0446,97.747,4,https://api.spotify.com/v1/tracks/00TO3hVgOAgfKrRjrKEZxx,audio_features,spotify:track:00TO3hVgOAgfKrRjrKEZxx,0.499,7ALA,https://p.scdn.co/mp3-preview/a6b878816230804b0dcf25ff91a7a95f056b3ebe?cid=f0ab2ded1b8a482188532d1f3441d07c,00TO3hVgOAgfKrRjrKEZxx
Afroto,0.253,https://api.spotify.com/v1/audio-analysis/1QcOE9wJeillm0WK0oujtD,0.814,195643,0.62,1QcOE9wJeillm0WK0oujtD,0,7,0.368,-5.092,1,0.117,140.134,4,https://api.spotify.com/v1/tracks/1QcOE9wJeillm0WK0oujtD,audio_features,spotify:track:1QcOE9wJeillm0WK0oujtD,0.597,ANA DEAL,https://p.scdn.co/mp3-preview/644147bab951f5051474bd559339a76520412f58?cid=f0ab2ded1b8a482188532d1f3441d07c,1QcOE9wJeillm0WK0oujtD
